Month,Day
12,31
12,29
12,27
12,26
12,24
12,23
12,22
12,21
12,20
12,16
12,14
12,13
12,12
12,7
12,2
11,30
11,29
11,28
11,27
11,26
11,23
11,22
11,21
11,19
11,18
11,16
11,16
11,15
11,8
11,7
11,5
10,29
10,26
10,24
10,18
10,16
10,14
10,13
10,12
10,11
10,8
10,5
10,4
9,29
9,28
9,27
9,26
9,21
9,20
9,19
9,18
9,15
9,14
9,11
9,6
9,4
9,3
9,2
8,31
8,29
8,27
8,24
8,20
8,18
8,17
8,16
8,14
8,13
8,12
8,10
8,9
8,8
8,6
8,4
8,3
8,3
8,2
8,1
7,30
7,28
7,27
7,26
7,25
7,23
7,21
7,20
7,19
7,14
7,13
7,12
7,11
7,9
7,8
7,7
7,6
7,5
7,4
7,2
6,30
6,29
6,28
6,27
6,26
6,25
6,24
6,22
6,21
6,20
6,15
6,13
6,9
6,8
6,7
6,4
6,3
6,2
6,1
5,31
5,25
5,24
5,23
5,21
5,18
5,17
5,17
5,13
5,12
5,11
5,10
5,4
5,3
4,30
4,29
4,27
4,25
4,22
4,20
4,14
4,12
4,11
4,9
4,7
4,6
4,5
4,2
3,30
3,23
3,21
3,16
3,14
3,9
3,8
3,5
3,1
2,25
2,22
2,20
2,16
2,15
2,12
2,7
2,6
2,5
2,3
1,27
1,25
1,21
1,20
1,16
1,14
1,13
1,12
1,11
1,3
1,1
