Date,S&P Percent Change
1/1/2013,0.00%
1/2/2013,0.03%
1/3/2013,-0.03%
1/4/2013,0.00%
1/5/2013,0.00%
1/6/2013,-0.25%
1/7/2013,0.61%
1/8/2013,-0.02%
1/9/2013,0.03%
1/10/2013,0.23%
1/11/2013,0.00%
1/12/2013,0.00%
1/13/2013,-1.26%
1/14/2013,1.08%
1/15/2013,0.52%
1/16/2013,-0.13%
1/17/2013,-0.39%
1/18/2013,0.00%
1/19/2013,0.00%
1/20/2013,0.00%
1/21/2013,0.28%
1/22/2013,0.06%
1/23/2013,-0.89%
1/24/2013,-2.09%
1/25/2013,0.00%
1/26/2013,0.00%
1/27/2013,-0.49%
1/28/2013,0.61%
1/29/2013,-1.02%
1/30/2013,1.13%
1/31/2013,-0.65%
2/1/2013,0.00%
2/2/2013,0.00%
2/3/2013,-2.28%
2/4/2013,0.76%
2/5/2013,-0.20%
2/6/2013,1.24%
2/7/2013,1.33%
2/8/2013,0.00%
2/9/2013,0.00%
2/10/2013,0.16%
2/11/2013,1.11%
2/12/2013,-0.03%
2/13/2013,0.58%
2/14/2013,0.48%
2/15/2013,0.00%
2/16/2013,0.00%
2/17/2013,0.00%
2/18/2013,0.12%
2/19/2013,-0.65%
2/20/2013,0.60%
2/21/2013,-0.19%
2/22/2013,0.00%
2/23/2013,0.00%
2/24/2013,0.62%
2/25/2013,-0.13%
2/26/2013,0.00%
2/27/2013,0.49%
2/28/2013,0.28%
3/1/2013,0.00%
3/2/2013,0.00%
3/3/2013,-0.74%
3/4/2013,1.53%
3/5/2013,-0.01%
3/6/2013,0.17%
3/7/2013,0.05%
3/8/2013,0.00%
3/9/2013,0.00%
3/10/2013,-0.05%
3/11/2013,-0.51%
3/12/2013,0.03%
3/13/2013,-1.17%
3/14/2013,-0.28%
3/15/2013,0.00%
3/16/2013,0.00%
3/17/2013,0.96%
3/18/2013,0.72%
3/19/2013,-0.61%
3/20/2013,0.60%
3/21/2013,-0.29%
3/22/2013,0.00%
3/23/2013,0.00%
3/24/2013,-0.49%
3/25/2013,0.44%
3/26/2013,-0.70%
3/27/2013,-0.19%
3/28/2013,0.46%
3/29/2013,0.00%
3/30/2013,0.00%
3/31/2013,0.79%
4/1/2013,0.70%
4/2/2013,0.29%
4/3/2013,-0.11%
4/4/2013,-1.25%
4/5/2013,0.00%
4/6/2013,0.00%
4/7/2013,-1.08%
4/8/2013,0.38%
4/9/2013,1.09%
4/10/2013,-2.09%
4/11/2013,-0.95%
4/12/2013,0.00%
4/13/2013,0.00%
4/14/2013,0.82%
4/15/2013,0.68%
4/16/2013,1.05%
4/17/2013,0.14%
4/18/2013,0.00%
4/19/2013,0.00%
4/20/2013,0.00%
4/21/2013,0.38%
4/22/2013,0.41%
4/23/2013,-0.22%
4/24/2013,0.17%
4/25/2013,-0.81%
4/26/2013,0.00%
4/27/2013,0.00%
4/28/2013,0.32%
4/29/2013,0.48%
4/30/2013,0.30%
5/1/2013,-0.01%
5/2/2013,-0.13%
5/3/2013,0.00%
5/4/2013,0.00%
5/5/2013,0.19%
5/6/2013,-0.90%
5/7/2013,0.56%
5/8/2013,-0.14%
5/9/2013,0.15%
5/10/2013,0.00%
5/11/2013,0.00%
5/12/2013,0.97%
5/13/2013,0.04%
5/14/2013,-0.47%
5/15/2013,-0.94%
5/16/2013,0.37%
5/17/2013,0.00%
5/18/2013,0.00%
5/19/2013,0.38%
5/20/2013,-0.65%
5/21/2013,0.81%
5/22/2013,0.24%
5/23/2013,0.42%
5/24/2013,0.00%
5/25/2013,0.00%
5/26/2013,0.00%
5/27/2013,0.60%
5/28/2013,-0.11%
5/29/2013,0.54%
5/30/2013,0.18%
5/31/2013,0.00%
6/1/2013,0.00%
6/2/2013,0.07%
6/3/2013,-0.04%
6/4/2013,0.19%
6/5/2013,0.65%
6/6/2013,0.46%
6/7/2013,0.00%
6/8/2013,0.00%
6/9/2013,0.09%
6/10/2013,-0.02%
6/11/2013,-0.35%
6/12/2013,-0.71%
6/13/2013,0.31%
6/14/2013,0.00%
6/15/2013,0.00%
6/16/2013,0.08%
6/17/2013,0.22%
6/18/2013,0.77%
6/19/2013,0.13%
6/20/2013,0.17%
6/21/2013,0.00%
6/22/2013,0.00%
6/23/2013,-0.01%
6/24/2013,-0.64%
6/25/2013,0.49%
6/26/2013,-0.12%
6/27/2013,0.19%
6/28/2013,0.00%
6/29/2013,0.00%
6/30/2013,-0.04%
7/1/2013,0.67%
7/2/2013,0.07%
7/3/2013,0.55%
7/4/2013,0.00%
7/5/2013,0.00%
7/6/2013,0.00%
7/7/2013,-0.39%
7/8/2013,-0.70%
7/9/2013,0.46%
7/10/2013,-0.41%
7/11/2013,0.15%
7/12/2013,0.00%
7/13/2013,0.00%
7/14/2013,0.48%
7/15/2013,-0.19%
7/16/2013,0.42%
7/17/2013,-1.18%
